Date,Restaurant,Dish,Quantity_Cooked,Quantity_Sold,Quantity_Leftover,Quantity_Donated,Weather,Quantity_Cooked.1,Quantity_Sold.1,Quantity_Leftover.1,Quantity_Donated.1,Weather.1,Quantity_Cooked.2,Quantity_Sold.2,Quantity_Leftover.2,Quantity_Donated.2,Weather.2,Quantity_Cooked.3,Quantity_Sold.3,Quantity_Leftover.3,Quantity_Donated.3,Weather.3,Quantity_Cooked.4,Quantity_Sold.4,Quantity_Leftover.4,Quantity_Donated.4,Weather.4,Quantity_Cooked.5,Quantity_Sold.5,Quantity_Leftover.5,Quantity_Donated.5,Weather.5,Quantity_Cooked.6,Quantity_Sold.6,Quantity_Leftover.6,Quantity_Donated.6,Weather.6,Quantity_Cooked.7,Quantity_Sold.7,Quantity_Leftover.7,Quantity_Donated.7,Weather.7
03-08-2025,Green Leaf,Fried Rice,59.0,44.0,15,4,Rainy,59,44,15,4,Rainy,59,44,15,4,Rainy,59,44,15,4,Rainy,59,44,15,4,Rainy,59,44,15,4,Rainy,59,44,15,4,Rainy,59,44,15,4,Rainy
03-08-2025,Spice Hub,Fried Rice,47.0,36.0,11,1,Hot,47,36,11,1,Hot,47,36,11,1,Hot,47,36,11,1,Hot,47,36,11,1,Hot,47,36,11,1,Hot,47,36,11,1,Hot,47,36,11,1,Hot
03-08-2025,Urban Bites,Thali,77.0,67.0,10,0,Rainy,77,67,10,0,Rainy,77,67,10,0,Rainy,77,67,10,0,Rainy,77,67,10,0,Rainy,77,67,10,0,Rainy,77,67,10,0,Rainy,77,67,10,0,Rainy
03-08-2025,Food Plaza,Biryani,82.0,56.0,26,0,Hot,82,56,26,0,Hot,82,56,26,0,Hot,82,56,26,0,Hot,82,56,26,0,Hot,82,56,26,0,Hot,82,56,26,0,Hot,82,56,26,0,Hot
03-08-2025,Tasty Treat,Thali,45.0,39.0,6,2,Cloudy,45,39,6,2,Cloudy,45,39,6,2,Cloudy,45,39,6,2,Cloudy,45,39,6,2,Cloudy,45,39,6,2,Cloudy,45,39,6,2,Cloudy,45,39,6,2,Cloudy
04-08-2025,Green Leaf,Pizza,60.0,50.0,10,5,Rainy,60,50,10,5,Rainy,60,50,10,5,Rainy,60,50,10,5,Rainy,60,50,10,5,Rainy,60,50,10,5,Rainy,60,50,10,5,Rainy,60,50,10,5,Rainy
04-08-2025,Spice Hub,Burger,61.0,59.0,2,1,Rainy,61,59,2,1,Rainy,61,59,2,1,Rainy,61,59,2,1,Rainy,61,59,2,1,Rainy,61,59,2,1,Rainy,61,59,2,1,Rainy,61,59,2,1,Rainy
04-08-2025,Urban Bites,Fried Rice,41.0,30.0,11,8,Sunny,41,30,11,8,Sunny,41,30,11,8,Sunny,41,30,11,8,Sunny,41,30,11,8,Sunny,41,30,11,8,Sunny,41,30,11,8,Sunny,41,30,11,8,Sunny
04-08-2025,Food Plaza,Biryani,86.0,72.0,14,1,Cloudy,86,72,14,1,Cloudy,86,72,14,1,Cloudy,86,72,14,1,Cloudy,86,72,14,1,Cloudy,86,72,14,1,Cloudy,86,72,14,1,Cloudy,86,72,14,1,Cloudy
04-08-2025,Tasty Treat,Burger,82.0,73.0,9,6,Cloudy,82,73,9,6,Cloudy,82,73,9,6,Cloudy,82,73,9,6,Cloudy,82,73,9,6,Cloudy,82,73,9,6,Cloudy,82,73,9,6,Cloudy,82,73,9,6,Cloudy
